risk_id,country_id,year,growth_category,inflation_risk,unemployment_risk
212,2017_ARM,2017,High,Low,Medium
213,2018_ARM,2018,Moderate,Low,High
214,2019_ARM,2019,High,Low,Medium
215,2020_ARM,2020,Negative,Low,High
216,2021_ARM,2021,Moderate,Medium,Medium
217,2022_ARM,2022,High,Medium,Medium
218,2023_ARM,2023,High,Low,Medium
219,2024_ARM,2024,Moderate,Low,Medium
220,2000_ABW,2000,High,Low,Medium
221,2001_ABW,2001,Moderate,Low,Medium
222,2002_ABW,2002,Negative,Low,High
223,2003_ABW,2003,Low,Low,High
224,2004_ABW,2004,High,Low,Medium
225,2005_ABW,2005,Negative,Low,High
226,2006_ABW,2006,Low,Low,Medium
227,2007_ABW,2007,Moderate,Medium,High
228,2008_ABW,2008,Low,Medium,High
229,2009_ABW,2009,Negative,Low,High
230,2010_ABW,2010,Negative,Low,High
231,2011_ABW,2011,Moderate,Low,High
232,2012_ABW,2012,Negative,Low,High
233,2013_ABW,2013,High,Low,High
234,2014_ABW,2014,Low,Low,Medium
235,2015_ABW,2015,Moderate,Low,High
236,2016_ABW,2016,Low,Low,High
237,2017_ABW,2017,Moderate,Low,Medium
238,2018_ABW,2018,Moderate,Low,Medium
239,2019_ABW,2019,Low,Low,High
240,2020_ABW,2020,Negative,High,High
241,2021_ABW,2021,High,High,Medium
242,2022_ABW,2022,High,High,Medium
243,2023_ABW,2023,High,High,Medium
244,2024_ABW,2024,High,High,Medium
245,2000_AUS,2000,Moderate,Low,High
246,2001_AUS,2001,Low,Low,High
247,2002_AUS,2002,Moderate,Low,Medium
248,2003_AUS,2003,Moderate,Low,High
249,2004_AUS,2004,Moderate,Low,High
250,2005_AUS,2005,Moderate,Low,High
251,2006_AUS,2006,Low,Low,Medium
252,2007_AUS,2007,Moderate,Low,Medium
253,2008_AUS,2008,Moderate,Low,High
254,2009_AUS,2009,Low,Low,High
255,2010_AUS,2010,Low,Low,High
256,2011_AUS,2011,Low,Low,High
257,2012_AUS,2012,Moderate,Low,High
258,2013_AUS,2013,Low,Low,High
259,2014_AUS,2014,Low,Low,High
260,2015_AUS,2015,Low,Low,High
261,2016_AUS,2016,Low,Low,Medium
262,2017_AUS,2017,Low,Low,High
263,2018_AUS,2018,Low,Low,Medium
264,2019_AUS,2019,Low,Low,Medium
265,2020_AUS,2020,Negative,Low,High
266,2021_AUS,2021,Low,Low,High
267,2022_AUS,2022,Moderate,Medium,High
268,2023_AUS,2023,Moderate,Medium,Medium
269,2024_AUS,2024,Low,Low,High
270,2000_AUT,2000,Moderate,Low,High
271,2001_AUT,2001,Low,Low,High
272,2002_AUT,2002,Low,Low,High
273,2003_AUT,2003,Low,Low,High
274,2004_AUT,2004,Low,Low,High
275,2005_AUT,2005,Low,Low,Medium
276,2006_AUT,2006,Moderate,Low,Medium
277,2007_AUT,2007,Moderate,Low,Medium
278,2008_AUT,2008,Low,Low,High
279,2009_AUT,2009,Negative,Low,High
280,2010_AUT,2010,Low,Low,Medium
281,2011_AUT,2011,Low,Low,High
282,2012_AUT,2012,Low,Low,High
283,2013_AUT,2013,Negative,Low,High
284,2014_AUT,2014,Low,Low,High
285,2015_AUT,2015,Low,Low,High
286,2016_AUT,2016,Low,Low,High
287,2017_AUT,2017,Low,Low,Medium
288,2018_AUT,2018,Low,Low,High
289,2019_AUT,2019,Low,Low,High
290,2020_AUT,2020,Negative,Low,High
291,2021_AUT,2021,Moderate,Low,Medium
292,2022_AUT,2022,Moderate,Medium,Medium
293,2023_AUT,2023,Negative,Medium,High
294,2024_AUT,2024,Negative,Low,High
295,2000_AZE,2000,High,Low,Low
296,2001_AZE,2001,High,Low,Medium
297,2002_AZE,2002,High,Low,Medium
298,2003_AZE,2003,High,Low,Medium
299,2004_AZE,2004,High,Medium,Medium
300,2005_AZE,2005,High,Medium,Low
301,2006_AZE,2006,High,Medium,Low
302,2007_AZE,2007,High,High,Low
303,2008_AZE,2008,High,High,Medium
304,2009_AZE,2009,High,Low,Medium
305,2010_AZE,2010,Moderate,Medium,High
306,2011_AZE,2011,Negative,Medium,High
307,2012_AZE,2012,Low,Low,Medium
308,2013_AZE,2013,Moderate,Low,Medium
309,2014_AZE,2014,Low,Low,High
310,2015_AZE,2015,Low,Low,High
311,2016_AZE,2016,Negative,High,High
312,2017_AZE,2017,Low,High,High
313,2018_AZE,2018,Low,Low,High
314,2019_AZE,2019,Low,Low,Medium
315,2020_AZE,2020,Negative,Low,High
316,2021_AZE,2021,Moderate,Medium,Medium
317,2022_AZE,2022,Moderate,High,Medium
318,2023_AZE,2023,Low,Medium,High
319,2024_AZE,2024,Moderate,Low,High
320,2000_BHS,2000,Moderate,Low,High
321,2001_BHS,2001,Low,Low,Medium
322,2002_BHS,2002,Low,Low,High
323,2003_BHS,2003,Negative,Low,High
324,2004_BHS,2004,Low,Low,High
325,2005_BHS,2005,Moderate,Low,High
326,2006_BHS,2006,Low,Low,High
327,2007_BHS,2007,Low,Low,Medium
328,2008_BHS,2008,Negative,Low,High
329,2009_BHS,2009,Negative,Low,High
330,2010_BHS,2010,Low,Low,High
331,2011_BHS,2011,Low,Low,High
332,2012_BHS,2012,Moderate,Low,High
333,2013_BHS,2013,Negative,Low,High
334,2014_BHS,2014,Low,Low,High
335,2015_BHS,2015,Low,Low,High
336,2016_BHS,2016,Negative,Low,High
337,2017_BHS,2017,Moderate,Low,Medium
338,2018_BHS,2018,Low,Low,Medium
339,2019_BHS,2019,Negative,Low,High
340,2020_BHS,2020,Negative,Low,High
341,2021_BHS,2021,High,Low,Low
342,2022_BHS,2022,High,Medium,Medium
343,2023_BHS,2023,Moderate,Low,Medium
344,2024_BHS,2024,Moderate,Low,Medium
345,2000_BHR,2000,Moderate,Low,Medium
346,2001_BHR,2001,Low,Low,High
347,2002_BHR,2002,Moderate,Low,Medium
348,2003_BHR,2003,High,Low,Medium
349,2004_BHR,2004,High,Low,Medium
350,2005_BHR,2005,High,Low,Medium
351,2006_BHR,2006,High,Low,Medium
352,2007_BHR,2007,High,Low,Medium
353,2008_BHR,2008,High,Low,Medium
354,2009_BHR,2009,Low,Low,Medium
355,2010_BHR,2010,Moderate,Low,Medium
356,2011_BHR,2011,Low,Low,High
357,2012_BHR,2012,Moderate,Low,High
358,2013_BHR,2013,Moderate,Low,High
359,2014_BHR,2014,Moderate,Low,Medium
360,2015_BHR,2015,Low,Low,Medium
361,2016_BHR,2016,Moderate,Low,High
362,2017_BHR,2017,Moderate,Low,Medium
363,2018_BHR,2018,Low,Low,High
364,2019_BHR,2019,Low,Low,Medium
365,2020_BHR,2020,Negative,Low,High
366,2021_BHR,2021,Moderate,Low,High
367,2022_BHR,2022,High,Low,Medium
368,2023_BHR,2023,Moderate,Low,High
369,2024_BHR,2024,Low,Low,Medium
370,2000_BGD,2000,Moderate,Low,Medium
371,2001_BGD,2001,Moderate,Low,Medium
372,2002_BGD,2002,Moderate,Low,Medium
373,2003_BGD,2003,Moderate,Medium,Medium
374,2004_BGD,2004,Moderate,Medium,High
375,2005_BGD,2005,High,Medium,Medium
376,2006_BGD,2006,High,Medium,Medium
377,2007_BGD,2007,High,Medium,Medium
378,2008_BGD,2008,High,Medium,High
379,2009_BGD,2009,Moderate,Medium,Medium
380,2010_BGD,2010,Moderate,Medium,High
381,2011_BGD,2011,High,High,Medium
382,2012_BGD,2012,High,Medium,High
383,2013_BGD,2013,High,Medium,High
384,2014_BGD,2014,High,Medium,High
385,2015_BGD,2015,High,Medium,Medium
386,2016_BGD,2016,High,Medium,Medium
387,2017_BGD,2017,High,Medium,Medium
388,2018_BGD,2018,High,Medium,Medium
389,2019_BGD,2019,High,Medium,Medium
390,2020_BGD,2020,Moderate,Medium,Medium
391,2021_BGD,2021,High,Medium,Medium
392,2022_BGD,2022,High,Medium,Medium
393,2023_BGD,2023,Moderate,Medium,Medium
394,2024_BGD,2024,Moderate,High,High
395,2000_BRB,2000,Moderate,Low,High
396,2001_BRB,2001,Negative,Low,High
397,2002_BRB,2002,Low,Low,Medium
398,2003_BRB,2003,Low,Low,High
399,2004_BRB,2004,Low,Low,High
400,2005_BRB,2005,Moderate,Medium,Medium
401,2006_BRB,2006,High,Medium,Medium
402,2007_BRB,2007,Low,Low,Medium
403,2008_BRB,2008,Low,Medium,High
404,2009_BRB,2009,Negative,Low,High
405,2010_BRB,2010,Negative,Medium,High
406,2011_BRB,2011,Negative,Medium,High
407,2012_BRB,2012,Negative,Low,High
408,2013_BRB,2013,Negative,Low,High
409,2014_BRB,2014,Low,Low,High
410,2015_BRB,2015,Negative,Low,High
411,2016_BRB,2016,Low,Low,High
412,2017_BRB,2017,Low,Low,High
413,2018_BRB,2018,Negative,Low,High
414,2019_BRB,2019,Low,Low,High
415,2020_BRB,2020,Negative,High,High
416,2021_BRB,2021,Negative,High,High
417,2022_BRB,2022,High,High,Low
418,2023_BRB,2023,Low,Medium,High
419,2024_BRB,2024,Low,Low,Medium
420,2000_BLR,2000,Moderate,High,Medium
421,2001_BLR,2001,Moderate,High,Medium
422,2002_BLR,2002,Moderate,High,Medium
423,2003_BLR,2003,High,High,Medium
424,2004_BLR,2004,High,High,Medium
425,2005_BLR,2005,High,High,Medium
426,2006_BLR,2006,High,Medium,Medium
427,2007_BLR,2007,High,Medium,Medium
428,2008_BLR,2008,High,High,Medium
429,2009_BLR,2009,Low,High,High
430,2010_BLR,2010,High,Medium,Medium
431,2011_BLR,2011,Moderate,High,High
432,2012_BLR,2012,Low,High,High
433,2013_BLR,2013,Low,High,Medium
434,2014_BLR,2014,Low,High,Medium
435,2015_BLR,2015,Negative,High,High
436,2016_BLR,2016,Negative,High,High
437,2017_BLR,2017,Low,Medium,High
438,2018_BLR,2018,Moderate,Low,High
439,2019_BLR,2019,Low,Medium,Medium
440,2020_BLR,2020,Negative,Medium,High
441,2021_BLR,2021,Low,Medium,High
442,2022_BLR,2022,Negative,High,High
443,2023_BLR,2023,Moderate,Medium,High
444,2024_BLR,2024,Moderate,Medium,High
445,2000_BEL,2000,Moderate,Low,Medium
446,2001_BEL,2001,Low,Low,High
447,2002_BEL,2002,Low,Low,High
448,2003_BEL,2003,Low,Low,Medium
449,2004_BEL,2004,Moderate,Low,Medium
450,2005_BEL,2005,Low,Low,Medium
451,2006_BEL,2006,Low,Low,High
452,2007_BEL,2007,Moderate,Low,High
453,2008_BEL,2008,Low,Low,High
454,2009_BEL,2009,Negative,Low,High
455,2010_BEL,2010,Low,Low,High
456,2011_BEL,2011,Low,Low,High
457,2012_BEL,2012,Low,Low,High
458,2013_BEL,2013,Low,Low,High
459,2014_BEL,2014,Low,Low,High
460,2015_BEL,2015,Low,Low,Medium
461,2016_BEL,2016,Low,Low,High
462,2017_BEL,2017,Low,Low,High
463,2018_BEL,2018,Low,Low,High
464,2019_BEL,2019,Low,Low,High
465,2020_BEL,2020,Negative,Low,High
466,2021_BEL,2021,High,Low,Medium
467,2022_BEL,2022,Moderate,Medium,Medium
468,2023_BEL,2023,Low,Low,Medium
469,2024_BEL,2024,Low,Low,Medium
470,2000_BLZ,2000,High,Low,Medium
471,2001_BLZ,2001,Moderate,Low,High
472,2002_BLZ,2002,Moderate,Low,Medium
473,2003_BLZ,2003,High,Low,Medium
474,2004_BLZ,2004,Moderate,Medium,Medium
475,2005_BLZ,2005,Low,Low,High
476,2006_BLZ,2006,Moderate,Low,Medium
477,2007_BLZ,2007,Moderate,Low,High
478,2008_BLZ,2008,Negative,Medium,High
479,2009_BLZ,2009,Negative,Low,High
480,2010_BLZ,2010,Low,Low,High
481,2011_BLZ,2011,Negative,Low,High
482,2012_BLZ,2012,Moderate,Low,High
483,2013_BLZ,2013,Moderate,Low,High
484,2014_BLZ,2014,Moderate,Low,Medium
485,2015_BLZ,2015,Low,Low,Medium
486,2016_BLZ,2016,Negative,Low,High
487,2017_BLZ,2017,Negative,Low,High
488,2018_BLZ,2018,Low,Low,High
489,2019_BLZ,2019,Moderate,Low,Medium
490,2020_BLZ,2020,Negative,Low,High
491,2021_BLZ,2021,High,Low,Low
492,2022_BLZ,2022,High,Medium,Medium
493,2023_BLZ,2023,Low,Low,High
494,2024_BLZ,2024,Moderate,Low,Medium
495,2000_BEN,2000,Moderate,Low,Medium
496,2001_BEN,2001,Moderate,Low,High
497,2002_BEN,2002,Moderate,Low,Medium
498,2003_BEN,2003,Moderate,Low,Medium
499,2004_BEN,2004,Moderate,Low,Medium
500,2005_BEN,2005,Low,Medium,High
501,2006_BEN,2006,Moderate,Low,High
502,2007_BEN,2007,Moderate,Low,Medium
503,2008_BEN,2008,Moderate,Medium,Medium
504,2009_BEN,2009,Low,Low,High
505,2010_BEN,2010,Low,Low,Medium
506,2011_BEN,2011,Low,Low,High
507,2012_BEN,2012,Moderate,Medium,High
508,2013_BEN,2013,High,Low,Medium
509,2014_BEN,2014,High,Low,Medium
510,2015_BEN,2015,Low,Low,High
511,2016_BEN,2016,Moderate,Low,Medium
512,2017_BEN,2017,Moderate,Low,Medium
513,2018_BEN,2018,High,Low,Medium
514,2019_BEN,2019,High,Low,High
515,2020_BEN,2020,Moderate,Low,Medium
516,2021_BEN,2021,High,Low,Medium
517,2022_BEN,2022,High,Low,Medium
518,2023_BEN,2023,High,Low,Medium
519,2024_BEN,2024,High,Low,Medium
520,2000_BMU,2000,High,High,Medium
521,2001_BMU,2001,High,High,Medium
522,2002_BMU,2002,Negative,High,High
523,2003_BMU,2003,Moderate,High,High
524,2004_BMU,2004,Low,High,Medium
525,2005_BMU,2005,Low,High,High
526,2006_BMU,2006,Moderate,High,Medium
527,2007_BMU,2007,Moderate,High,High
528,2008_BMU,2008,Negative,High,High
529,2009_BMU,2009,Negative,High,High
530,2010_BMU,2010,Negative,High,High
531,2011_BMU,2011,Negative,High,High
532,2012_BMU,2012,Negative,High,High
533,2013_BMU,2013,Negative,High,High
534,2014_BMU,2014,Negative,High,High
535,2015_BMU,2015,Low,High,High
536,2016_BMU,2016,Negative,High,High
537,2017_BMU,2017,Moderate,High,High
538,2018_BMU,2018,Negative,High,High
539,2019_BMU,2019,Low,High,High
540,2020_BMU,2020,Negative,High,High
541,2021_BMU,2021,Moderate,High,Medium
542,2022_BMU,2022,High,High,Medium
543,2023_BMU,2023,Moderate,High,Medium
544,2024_BMU,2024,Moderate,High,High
545,2000_BTN,2000,Moderate,Low,Medium
546,2001_BTN,2001,High,Low,Medium
547,2002_BTN,2002,High,Low,Medium
548,2003_BTN,2003,High,Low,Medium
549,2004_BTN,2004,Moderate,Low,Medium
550,2005_BTN,2005,High,Medium,Medium
551,2006_BTN,2006,Moderate,Medium,High
552,2007_BTN,2007,High,Medium,Low
553,2008_BTN,2008,Moderate,Medium,Medium
554,2009_BTN,2009,High,Low,Medium
555,2010_BTN,2010,High,Medium,Medium
556,2011_BTN,2011,High,Medium,Medium
557,2012_BTN,2012,Moderate,High,Medium
558,2013_BTN,2013,Low,Medium,High
559,2014_BTN,2014,Moderate,Medium,Medium
560,2015_BTN,2015,High,Low,High
561,2016_BTN,2016,High,Low,Medium
562,2017_BTN,2017,Low,Low,High
563,2018_BTN,2018,Moderate,Low,High
564,2019_BTN,2019,Moderate,Low,High
565,2020_BTN,2020,Negative,Medium,High
566,2021_BTN,2021,Moderate,Medium,Medium
567,2022_BTN,2022,Moderate,Medium,High
568,2023_BTN,2023,Moderate,Low,High
569,2024_BTN,2024,High,Low,Medium
570,2000_BOL,2000,Low,Low,High
571,2001_BOL,2001,Low,Low,High
572,2002_BOL,2002,Low,Low,Medium
573,2003_BOL,2003,Low,Low,High
574,2004_BOL,2004,Moderate,Low,Medium
575,2005_BOL,2005,Moderate,Medium,Medium
576,2006_BOL,2006,Moderate,Low,High
577,2007_BOL,2007,Moderate,Medium,High
578,2008_BOL,2008,High,High,Medium
579,2009_BOL,2009,Moderate,Low,High
580,2010_BOL,2010,Moderate,Low,High
581,2011_BOL,2011,Moderate,Medium,Medium
582,2012_BOL,2012,Moderate,Low,Medium
583,2013_BOL,2013,High,Medium,Medium
584,2014_BOL,2014,Moderate,Medium,Medium
585,2015_BOL,2015,Moderate,Low,Medium
586,2016_BOL,2016,Moderate,Low,High
587,2017_BOL,2017,Moderate,Low,Medium
588,2018_BOL,2018,Low,Low,Medium
589,2019_BOL,2019,Low,Low,High
590,2020_BOL,2020,Negative,Low,High
591,2021_BOL,2021,High,Low,Medium
592,2022_BOL,2022,Moderate,Low,Medium
593,2023_BOL,2023,Low,Low,High
594,2024_BOL,2024,Negative,Medium,High
595,2000_BIH,2000,Moderate,High,Medium
596,2001_BIH,2001,Low,High,High
597,2002_BIH,2002,Moderate,High,High
598,2003_BIH,2003,Moderate,High,High
599,2004_BIH,2004,High,High,Medium
600,2005_BIH,2005,Moderate,High,Medium
601,2006_BIH,2006,Moderate,Medium,High
602,2007_BIH,2007,Moderate,Low,Medium
603,2008_BIH,2008,Moderate,Medium,Medium
604,2009_BIH,2009,Negative,Low,High
605,2010_BIH,2010,Low,Low,High
606,2011_BIH,2011,Low,Low,Medium
607,2012_BIH,2012,Negative,Low,High
608,2013_BIH,2013,Low,Low,Medium
609,2014_BIH,2014,Low,Low,High
610,2015_BIH,2015,Moderate,Low,High
611,2016_BIH,2016,Moderate,Low,Medium
612,2017_BIH,2017,Moderate,Low,High
613,2018_BIH,2018,Moderate,Low,High
614,2019_BIH,2019,Low,Low,High
615,2020_BIH,2020,Negative,Low,High
616,2021_BIH,2021,High,Low,Medium
617,2022_BIH,2022,Moderate,High,Medium
618,2023_BIH,2023,Low,Medium,High
619,2024_BIH,2024,Low,Low,High
620,2000_BWA,2000,Low,Medium,High
621,2001_BWA,2001,Low,Medium,High
622,2002_BWA,2002,High,Medium,Medium
623,2003_BWA,2003,Moderate,Medium,Medium
624,2004_BWA,2004,Low,Medium,Medium
625,2005_BWA,2005,Moderate,Medium,High
626,2006_BWA,2006,High,High,Medium
627,2007_BWA,2007,Moderate,Medium,High
628,2008_BWA,2008,Moderate,High,Medium
629,2009_BWA,2009,Negative,Medium,High
630,2010_BWA,2010,High,Medium,Medium
631,2011_BWA,2011,High,Medium,Medium
632,2012_BWA,2012,Negative,Medium,High
633,2013_BWA,2013,High,Medium,Medium
634,2014_BWA,2014,Moderate,Low,Medium
635,2015_BWA,2015,Negative,Low,High
636,2016_BWA,2016,High,Low,Medium
637,2017_BWA,2017,Moderate,Low,Medium
638,2018_BWA,2018,Moderate,Low,High
639,2019_BWA,2019,Moderate,Low,High
640,2020_BWA,2020,Negative,Low,High
641,2021_BWA,2021,High,Medium,Medium
642,2022_BWA,2022,Moderate,High,High
643,2023_BWA,2023,Moderate,Medium,High
644,2024_BWA,2024,Negative,Low,High
645,2000_BRA,2000,Moderate,Medium,Medium
646,2001_BRA,2001,Low,Medium,High
647,2002_BRA,2002,Moderate,Medium,Medium
648,2003_BRA,2003,Low,High,High
649,2004_BRA,2004,Moderate,Medium,High
650,2005_BRA,2005,Moderate,Medium,Medium
