record_id,country_id,year,gdp_growth_percent,inflation_percent,unemployment_rate_percent,gdp_total_usd,gdp_per_capita,population
36,2011_ALB,2011,2.463516839,3.428071301,9.88,6.52664E+11,2861.23,228106261
37,2012_ALB,2012,0.98412988,2.031592684,12.5,6.59087E+11,2818.49,233844281
38,2013_ALB,2013,1.707228318,1.937620802,9.98,6.7034E+11,2839.31,236092233
39,2014_ALB,2014,2.240226954,1.625865044,10.82,6.85357E+11,2862.1,239459333
40,2015_ALB,2015,2.227704075,1.896174026,10.36,7.00624E+11,2867.21,244357802
41,2016_ALB,2016,3.908935514,1.275431684,11.04,7.28011E+11,2930.74,248405190
42,2017_ALB,2017,3.283175933,1.986661332,9.37,7.51913E+11,3009.16,249875023
43,2018_ALB,2018,3.671419281,2.028059631,11.75,7.79519E+11,3049.99,255580605
44,2019_ALB,2019,2.062577902,1.41109079,11.1,7.95597E+11,3058.49,260127878
45,2020_ALB,2020,-3.313756369,1.620886617,13.45,7.69233E+11,2934.6,262125479
46,2021_ALB,2021,8.969576191,2.041471631,6.49,8.3823E+11,3140.3,266926420
47,2022_ALB,2022,4.826800623,6.725202715,9.1,8.7869E+11,3253.71,270057755
48,2023_ALB,2023,4.015417169,4.758345552,9.28,9.13973E+11,3365.84,271543554
49,2024_ALB,2024,4.045928451,2.215873751,9.29,9.50952E+11,3466.37,274336705
50,2000_DZA,2000,3.800000002,0.339163189,11.66,5.0886E+11,3927.92,129549273
51,2001_DZA,2001,2.999999999,4.225988349,11.22,5.24125E+11,3967.06,132119506
52,2002_DZA,2002,5.4,1.418301923,9.29,5.52428E+11,4080.37,135386727
53,2003_DZA,2003,6.500000001,4.268953958,8.9,5.88336E+11,4314.65,136357857
54,2004_DZA,2004,4.5,3.961800303,10.73,6.14811E+11,4421.82,139040156
55,2005_DZA,2005,5.4,1.382446567,7.81,6.48011E+11,4588.15,141235807
56,2006_DZA,2006,2.899999999,2.311499185,10,6.66803E+11,4664.79,142943969
57,2007_DZA,2007,3.100000001,3.678995747,10.73,6.87474E+11,4709.79,145966938
58,2008_DZA,2008,2.499999999,4.858590628,12.7,7.04661E+11,4761.34,147996232
59,2009_DZA,2009,1.2,5.737060361,10.35,7.13117E+11,4723.33,150977522
60,2010_DZA,2010,4.800000001,3.911061955,8.21,7.47347E+11,4912.99,152116582
61,2011_DZA,2011,2.999999999,4.524211505,9.14,7.69767E+11,5004.58,153812521
62,2012_DZA,2012,2.4,8.891450911,9.94,7.88241E+11,5075.64,155298992
63,2013_DZA,2013,2.600000001,3.25423911,12.29,8.08736E+11,5159.44,156748606
64,2014_DZA,2014,4.099999999,2.916926921,10.05,8.41894E+11,5333.61,157846762
65,2015_DZA,2015,3.200000001,4.784447007,12.33,8.68834E+11,5421.56,160255491
66,2016_DZA,2016,3.9,6.397694803,9.64,9.02719E+11,5589.4,161505640
67,2017_DZA,2017,1.499999999,5.59111591,12.71,9.1626E+11,5512.08,166227541
68,2018_DZA,2018,1.400000001,4.269990205,10.33,9.29087E+11,5450.66,170454176
69,2019_DZA,2019,0.899999999,1.951768211,12.22,9.37449E+11,5449.19,172034660
70,2020_DZA,2020,-4.999999999,2.415130941,14.73,8.90577E+11,5034.58,176891955
71,2021_DZA,2021,3.799999999,7.226063074,9.22,9.24419E+11,5126.99,180304257
72,2022_DZA,2022,3.600000001,9.265515516,8.95,9.57698E+11,5185.87,184674350
73,2023_DZA,2023,4.1,9.322173759,9.65,9.96963E+11,5328.73,187092103
74,2024_DZA,2024,3.699999999,4.046114553,9.12,1.03385E+12,5429.84,190401810
75,2003_ASM,2003,0.965517241,,11.96,5.66231E+11,3594.44,157529737
76,2004_ASM,2004,0.409836066,,12.12,5.68552E+11,3565.61,159454083
77,2005_ASM,2005,-0.408163265,,12.13,5.66231E+11,3519.88,160866697
78,2006_ASM,2006,-4.098360656,,12.26,5.43025E+11,3314.91,163812928
79,2007_ASM,2007,1.851851852,,9.61,5.53081E+11,3331.6,166010496
80,2008_ASM,2008,-2.657342657,,15.29,5.38384E+11,3221.86,167103571
81,2009_ASM,2009,-4.166666667,,15.32,5.15951E+11,3047.81,169285751
82,2010_ASM,2010,0.299850075,,12.58,5.17498E+11,3022.59,171209856
83,2011_ASM,2011,0,,12.38,5.17498E+11,2951.74,175319868
84,2012_ASM,2012,-4.334828102,,13.81,4.95065E+11,2777.16,178263384
85,2013_ASM,2013,-2.5,,14.97,4.82689E+11,2671.08,180709462
86,2014_ASM,2014,1.762820513,,12.98,4.91198E+11,2649.89,185365529
87,2015_ASM,2015,3.149606299,,11.35,5.06668E+11,2711.37,186868367
88,2016_ASM,2016,-1.679389313,,11.56,4.98159E+11,2592.06,192186363
89,2017_ASM,2017,-6.98757764,,16.46,4.6335E+11,2394.99,193466786
90,2018_ASM,2018,2.671118531,,12.03,4.75727E+11,2412.25,197212657
91,2019_ASM,2019,-0.487804878,,13.42,4.73406E+11,2380.27,198887842
92,2020_ASM,2020,4.411764706,,8.45,4.94292E+11,2460.57,200884812
93,2021_ASM,2021,-0.782472613,,13.65,4.90424E+11,2419.29,202714199
94,2022_ASM,2022,1.735015773,,11.22,4.98933E+11,2409.15,207098893
95,2000_AND,2000,3.528362361,,11.74,2.40988E+11,1600.1,150607936
96,2001_AND,2001,8.119357722,,9.21,2.60555E+11,1704.77,152838610
97,2002_AND,2002,4.546362214,,9.23,2.72401E+11,1754.25,155280722
98,2003_AND,2003,8.694203716,,6.86,2.96084E+11,1875.69,157853257
99,2004_AND,2004,8.135676338,,7.94,3.20172E+11,1981.35,161592837
100,2005_AND,2005,5.397795985,,10.9,3.37455E+11,2065.98,163338899
101,2006_AND,2006,4.808688699,,9.77,3.53682E+11,2134.17,165723203
102,2007_AND,2007,1.553188141,,11.72,3.59175E+11,2108.98,170307406
103,2008_AND,2008,-5.559186369,,16.54,3.39208E+11,1976.08,171656658
104,2009_AND,2009,-5.302846543,,13.99,3.2122E+11,1833.36,175208698
105,2010_AND,2010,-1.974958,,14.16,3.14876E+11,1782.03,176694783
106,2011_AND,2011,-0.008069753,,12.14,3.14851E+11,1746.09,180317348
107,2012_AND,2012,-4.974443719,,15.64,2.99189E+11,1615.07,185248543
108,2013_AND,2013,-3.547596515,,13.02,2.88575E+11,1544.19,186877224
109,2014_AND,2014,2.504465521,,11.72,2.95802E+11,1565.32,188972534
110,2015_AND,2015,1.434140395,,11.56,3.00044E+11,1578.55,190075815
111,2016_AND,2016,3.70967807,,11.65,3.11175E+11,1598.64,194649318
112,2017_AND,2017,0.34607189,,13.11,3.12252E+11,1582.73,197287214
113,2018_AND,2018,1.58876549,,12.59,3.17213E+11,1595.48,198819306
114,2019_AND,2019,2.015547638,,10.58,3.23606E+11,1614.42,200447082
115,2020_AND,2020,-11.18393994,,16.19,2.87414E+11,1398.99,205444706
116,2021_AND,2021,8.28677879,,8.75,3.11232E+11,1498.83,207649392
117,2022_AND,2022,9.564612256,,7.78,3.41E+11,1605.27,212425517
118,2023_AND,2023,2.58355481,,10.88,3.4981E+11,1610.74,217172954
119,2024_AND,2024,3.371820326,,9.7,3.61605E+11,1646.46,219625917
120,2000_AGO,2000,3.054624234,324.9968716,12.11,9.99421E+11,7375.55,135504527
121,2001_AGO,2001,4.205998556,152.5610225,9.5,1.04146E+12,7538.14,138158356
122,2002_AGO,2002,13.66568876,108.8974361,6.96,1.18378E+12,8428.78,140444896
123,2003_AGO,2003,3.487312401,98.22414366,10.6,1.22506E+12,8646.33,141685556
124,2004_AGO,2004,11.41986339,43.54210675,6.74,1.36496E+12,9466.67,144185912
125,2005_AGO,2005,14.15477753,22.95351385,6.41,1.55817E+12,10748.05,144972123
126,2006_AGO,2006,11.84181788,13.30521018,6.34,1.74268E+12,11689.96,149075262
127,2007_AGO,2007,13.00268895,12.25149745,7.19,1.96928E+12,12920.34,152416974
128,2008_AGO,2008,10.78663605,12.47582913,5.22,2.1817E+12,13996.56,155873938
129,2009_AGO,2009,1.995589098,13.73028393,11.43,2.22524E+12,14004.09,158899016
130,2010_AGO,2010,5.293665728,14.46965649,10.3,2.34303E+12,14518.88,161378360
131,2011_AGO,2011,3.593869602,13.48246792,11.91,2.42724E+12,14625.89,165954917
132,2012_AGO,2012,8.503122839,10.27790492,6.2,2.63363E+12,15615.47,168655167
133,2013_AGO,2013,4.883061297,8.777814293,10.91,2.76223E+12,15906.8,173650907
134,2014_AGO,2014,4.655723563,7.280387304,11.36,2.89083E+12,16513.35,175060356
135,2015_AGO,2015,0.763177711,9.355972155,11.69,2.9129E+12,16205.91,179742767
136,2016_AGO,2016,-1.700530363,30.69441508,12.45,2.86336E+12,15621.3,183298418
137,2017_AGO,2017,-0.149396226,29.8444799,11.42,2.85908E+12,15499.25,184465853
138,2018_AGO,2018,-0.594411227,19.62893797,10.32,2.84209E+12,15030.29,189090658
139,2019_AGO,2019,-0.204680246,17.08095414,11.7,2.83627E+12,14802.11,191612651
140,2020_AGO,2020,-4.042447246,22.27153925,15.7,2.72162E+12,13946.63,195145009
141,2021_AGO,2021,2.102752519,25.75429488,10.34,2.77884E+12,14048.02,197810427
142,2022_AGO,2022,4.216002585,21.35529013,9.7,2.896E+12,14305.01,202446615
143,2023_AGO,2023,1.26330814,13.64410178,11.18,2.93259E+12,14333.57,204595610
144,2024_AGO,2024,4.423906644,28.24049489,8.49,3.06232E+12,14841.21,206339056
145,2000_ATG,2000,6.203552126,0.771779797,8.57,1.8421E+12,49212.95,37431225
146,2001_ATG,2001,-4.548109771,1.402796636,13.72,1.75832E+12,45700.95,38474477
147,2002_ATG,2002,1.027234861,2.407658013,12.02,1.77638E+12,45286.65,39225295
148,2003_ATG,2003,6.076636664,1.993530552,9.62,1.88433E+12,47784,39434262
149,2004_ATG,2004,5.767103383,2.030077579,10.96,1.993E+12,50066.58,39806951
150,2005_ATG,2005,6.473689418,2.098751967,8.42,2.12202E+12,52847.09,40153931
151,2006_ATG,2006,12.70814749,1.787785374,7.63,2.39169E+12,59141.07,40440379
152,2007_ATG,2007,9.315182723,1.416052594,7.72,2.61448E+12,63534.83,41150305
153,2008_ATG,2008,-0.014006598,5.333806398,13.01,2.61411E+12,63104.58,41425062
154,2009_ATG,2009,-11.96287947,-0.550159996,19.57,2.30139E+12,54991.92,41849571
155,2010_ATG,2010,-7.840506837,3.370025402,14.68,2.12095E+12,50172.11,42273444
156,2011_ATG,2011,-1.958742622,3.456749672,12.87,2.0794E+12,48900.18,42523438
157,2012_ATG,2012,3.373142739,3.376880443,8.58,2.14955E+12,49601.23,43336530
158,2013_ATG,2013,-0.60098233,1.059497824,12.11,2.13663E+12,48129.35,44393430
159,2014_ATG,2014,2.198291887,1.089441574,10.66,2.1836E+12,48312.44,45197384
160,2015_ATG,2015,1.421619976,0.968993459,11.53,2.21464E+12,48274.23,45876207
161,2016_ATG,2016,4.120367544,-0.489437796,8.67,2.30589E+12,49820.85,46283634
162,2017_ATG,2017,2.71272658,2.43248789,12.43,2.36844E+12,49849.12,47512216
163,2018_ATG,2018,6.712004872,1.207157934,7.73,2.52741E+12,52443.34,48193196
164,2019_ATG,2019,3.172221937,1.431355982,10.05,2.60759E+12,52988.89,49210072
165,2020_ATG,2020,-18.86877652,0.625989707,20.06,2.11557E+12,42749.66,49487354
166,2021_ATG,2021,8.172863112,2.062996385,8.55,2.28847E+12,45208.29,50620580
167,2022_ATG,2022,9.107806234,7.531078346,6.33,2.4969E+12,49047.31,50907973
168,2023_ATG,2023,2.427363001,5.067138654,11.47,2.55751E+12,49702.24,51456602
169,2024_ATG,2024,3.65638766,6.198866988,8.59,2.65102E+12,51238.1,51739241
170,2000_ARG,2000,-0.788998939,,11.11,5.56902E+11,4050.99,137473196
171,2001_ARG,2001,-4.408839683,,13.16,5.32349E+11,3791.56,140403939
172,2002_ARG,2002,-10.89448483,,16.42,4.74353E+11,3353.38,141455008
173,2003_ARG,2003,8.837040796,,9,5.16271E+11,3567.47,144716490
174,2004_ARG,2004,9.029573301,,7.07,5.62888E+11,3791.93,148443735
175,2005_ARG,2005,8.85165992,,6.39,6.12713E+11,4039.91,151665280
176,2006_ARG,2006,8.0471515,,9.56,6.62019E+11,4311.84,153535115
177,2007_ARG,2007,9.007650875,,5.84,7.21652E+11,4675.34,154352696
178,2008_ARG,2008,4.057233103,,8.08,7.50931E+11,4815.92,155926655
179,2009_ARG,2009,-5.918525076,,15.29,7.06487E+11,4488.09,157413554
180,2010_ARG,2010,10.12539816,,8.51,7.78021E+11,4866.92,159859070
181,2011_ARG,2011,6.003951693,,8.37,8.24733E+11,5031.16,163925260
182,2012_ARG,2012,-1.026420454,,12.03,8.16268E+11,4922.97,165808037
183,2013_ARG,2013,2.405323781,,9.87,8.35902E+11,4943.71,169083969
184,2014_ARG,2014,-2.512615321,,12.89,8.14899E+11,4722.2,172567728
185,2015_ARG,2015,2.731159828,,10.38,8.37155E+11,4761.64,175812205
186,2016_ARG,2016,-2.080327844,,14.83,8.1974E+11,4605.65,177985533
187,2017_ARG,2017,2.818502978,,9.15,8.42844E+11,4624.07,182273230
188,2018_ARG,2018,-2.617396463,34.27722371,13.26,8.20784E+11,4385.89,187142058
189,2019_ARG,2019,-2.000861003,53.54830435,14.2,8.04361E+11,4183.65,192262976
190,2020_ARG,2020,-9.900484814,42.01509474,15.04,7.24725E+11,3711.44,195268112
191,2021_ARG,2021,10.44181199,48.40937863,6.95,8.004E+11,4051.51,197556055
192,2022_ARG,2022,6.020745375,72.43075753,8.02,8.4859E+11,4207.76,201672522
193,2023_ARG,2023,-1.85578803,133.4889356,14.27,8.32842E+11,4094.93,203383492
194,2024_ARG,2024,-1.342930722,219.883929,12.77,8.21657E+11,3923.76,209405688
195,2000_ARM,2000,5.900000003,-0.790883769,8.14,7.85103E+11,4803.07,163458427
196,2001_ARM,2001,9.599999999,3.145904647,8.86,8.60473E+11,5235.58,164350872
197,2002_ARM,2002,13.2,1.060049293,5.71,9.74055E+11,5879.97,165656439
198,2003_ARM,2003,14,4.721553366,5.22,1.11042E+12,6624.66,167619696
199,2004_ARM,2004,10.5,6.961261359,8.07,1.22702E+12,7167.68,171187567
200,2005_ARM,2005,13.9,0.638928002,3.09,1.39757E+12,8081.87,172926924
201,2006_ARM,2006,13.2,2.892356625,7,1.58205E+12,9072.27,174383338
202,2007_ARM,2007,13.7,4.407360896,5.54,1.79879E+12,10045.48,179065052
203,2008_ARM,2008,6.9,8.949953354,9.21,1.92291E+12,10527.92,182648667
204,2009_ARM,2009,-14.1,3.406766827,20.71,1.65178E+12,8959.41,184362693
205,2010_ARM,2010,2.2,8.176361385,10.43,1.68812E+12,9017.03,187214648
206,2011_ARM,2011,4.699999999,7.650008079,7.84,1.76746E+12,9274.14,190579447
207,2012_ARM,2012,7.200000001,2.558020078,9.35,1.89472E+12,9851.67,192324599
208,2013_ARM,2013,3.3,5.789667785,10.76,1.95724E+12,10105.33,193684327
209,2014_ARM,2014,3.600000001,2.981308689,9.76,2.0277E+12,10353.84,195840756
210,2015_ARM,2015,3.199999999,3.731691193,9.82,2.09259E+12,10556.2,198233409
211,2016_ARM,2016,0.2,-1.403607559,11.09,2.09678E+12,10339.74,202788049
212,2017_ARM,2017,7.500000002,0.969553269,8.15,2.25403E+12,10906.26,206673492
213,2018_ARM,2018,5.2,2.52023382,11.15,2.37124E+12,11230.89,211135940
214,2019_ARM,2019,7.599999999,1.443446608,7.06,2.55146E+12,11809.12,216058428
215,2020_ARM,2020,-7.199999999,1.211435778,14.65,2.36775E+12,10895.89,217307154
216,2021_ARM,2021,5.800000001,7.184836294,7.31,2.50508E+12,11303.17,221626557
217,2022_ARM,2022,12.6,8.64091109,6.09,2.82072E+12,12509.59,225484889
218,2023_ARM,2023,8.3,1.980418776,8.93,3.05484E+12,13369.33,228496487
219,2024_ARM,2024,5.9,0.269511978,7.35,3.23508E+12,14050.42,230247902
220,2000_ABW,2000,7.622920649,4.044021312,8.17,7.42894E+11,7690.29,96601537
221,2001_ABW,2001,4.18200163,2.883604303,9.65,7.73961E+11,7837.82,98747063
222,2002_ABW,2002,-0.944953481,3.315246786,13.75,7.66648E+11,7678.07,99849085
223,2003_ABW,2003,1.110504599,3.656365079,12.22,7.75161E+11,7574.09,102343854
224,2004_ABW,2004,7.293728071,2.529129469,8.71,8.317E+11,8031.72,103551883
225,2005_ABW,2005,-0.383137672,3.397786778,10.56,8.28513E+11,7890.29,105004130
226,2006_ABW,2006,1.127411464,3.608024388,9.98,8.37854E+11,7762.42,107937194
227,2007_ABW,2007,3.089544385,5.392567845,10.24,8.6374E+11,7778.56,111041029
228,2008_ABW,2008,1.835755172,8.955987052,11.25,8.79596E+11,7845.82,112110168
229,2009_ABW,2009,-11.67774137,-2.13542872,18.77,7.76879E+11,6748.58,115117371
230,2010_ABW,2010,-2.733456793,2.078140719,14,7.55643E+11,6402.99,118014188
231,2011_ABW,2011,3.369237184,4.316297422,11.71,7.81103E+11,6474.3,120646720
232,2012_ABW,2012,-1.040799884,0.627471993,12.48,7.72973E+11,6335.69,122002995
233,2013_ABW,2013,6.431460807,-2.372065243,10.73,8.22686E+11,6672.9,123287715
234,2014_ABW,2014,1.426098643,0.421440919,9.44,8.34419E+11,6579.87,126813926
235,2015_ABW,2015,3.611479954,0.474763597,11.9,8.64554E+11,6666.57,129684915
236,2016_ABW,2016,1.234335374,-0.931195987,11.65,8.75225E+11,6685.25,130918787
237,2017_ABW,2017,3.493429853,-1.028281788,8.39,9.058E+11,6731.09,134569746
238,2018_ABW,2018,3.212471119,3.626041414,9.58,9.34899E+11,6794.87,137588887
239,2019_ABW,2019,1.225112252,4.257462043,13.27,9.46353E+11,6690.06,141456497
240,2020_ABW,2020,-23.89798984,,23.85,7.20193E+11,4949.68,145503096
241,2021_ABW,2021,14.73061592,,6.01,8.26282E+11,5531.92,149366358
242,2022_ABW,2022,10.63643096,,8,9.14169E+11,6041.91,151304762
243,2023_ABW,2023,7.706798397,,8.53,9.84622E+11,6469.21,152201271
244,2024_ABW,2024,6.810776693,,7.08,1.05168E+12,6836.32,153837469
245,2000_AUS,2000,3.916057488,4.457435148,10.83,1.86005E+12,20059.26,92727909
246,2001_AUS,2001,2.031458802,4.407135362,11.88,1.89784E+12,20194.19,93979446
247,2002_AUS,2002,3.949805358,2.981574539,9.29,1.9728E+12,20853.48,94602897
248,2003_AUS,2003,3.0912801,2.732595966,11.62,2.03378E+12,21107.9,96351847
249,2004_AUS,2004,4.218941475,2.343255225,10.39,2.11959E+12,21716.78,97601417
250,2005_AUS,2005,3.155481213,2.691831683,10.89,2.18647E+12,21809.93,100251241
251,2006_AUS,2006,2.770926174,3.555287737,8.71,2.24706E+12,22174.25,101336359
252,2007_AUS,2007,3.789471199,2.327611289,8.19,2.33221E+12,22414.88,104047357
253,2008_AUS,2008,3.623985036,4.35029855,10.3,2.41673E+12,22619.46,106842854
254,2009_AUS,2009,1.954848263,1.771117166,12.22,2.46397E+12,22423.11,109885385
255,2010_AUS,2010,2.210047953,2.918340027,10.3,2.51843E+12,22252.25,113176271
256,2011_AUS,2011,2.394734943,3.303850156,10.41,2.57874E+12,22247.2,115912840
257,2012_AUS,2012,3.952471381,1.762780156,10.53,2.68066E+12,22740,117882998
258,2013_AUS,2013,2.654453026,2.449888641,12.61,2.75182E+12,22733.42,121047205
259,2014_AUS,2014,2.601189782,2.487922705,10.37,2.8234E+12,22773.48,123977375
260,2015_AUS,2015,2.164347806,1.508366722,11.87,2.8845E+12,22910.49,125903230
261,2016_AUS,2016,2.755640655,1.276990945,9.06,2.96399E+12,23286.38,127284316
262,2017_AUS,2017,2.293310302,1.948647409,10,3.03197E+12,23494.65,129049184
263,2018_AUS,2018,2.874170395,1.911400944,9.5,3.11911E+12,23873.71,130650388
264,2019_AUS,2019,2.194017036,1.610767873,8.97,3.18754E+12,24250.72,131441127
265,2020_AUS,2020,-0.133531904,0.846905537,11.78,3.18329E+12,23519.96,135344016
266,2021_AUS,2021,2.006948443,2.863910422,11.72,3.24717E+12,23646.56,137321144
267,2022_AUS,2022,4.253045592,6.594096713,11.67,3.38528E+12,24397.16,138757022
268,2023_AUS,2023,3.583821008,5.597014925,8.57,3.5066E+12,24663.34,142178579
269,2024_AUS,2024,1.373407734,3.161614283,12.83,3.55476E+12,24621.92,144373748
270,2000_AUT,2000,3.18952293,2.344862854,10.27,1.43704E+12,8373.13,171625180
271,2001_AUT,2001,1.316987496,2.650000773,10.01,1.45597E+12,8314.33,175115227
272,2002_AUT,2002,1.484368776,1.810357878,10.18,1.47758E+12,8193.74,180330021
273,2003_AUT,2003,1.141565045,1.355553709,12.03,1.49444E+12,8057.1,185481742
274,2004_AUT,2004,2.565255341,2.06120618,10.77,1.53278E+12,8100.21,189227253
275,2005_AUT,2005,2.320365143,2.299137856,9.55,1.56835E+12,8199.88,191264615
276,2006_AUT,2006,3.269336015,1.441548511,9.11,1.61962E+12,8379.87,193275218
277,2007_AUT,2007,3.775224687,2.168555288,9.51,1.68077E+12,8488.36,198008453
278,2008_AUT,2008,1.453305621,3.215950332,13.15,1.70519E+12,8556.56,199284829
279,2009_AUT,2009,-3.586264726,0.506308828,15.5,1.64404E+12,8032.07,204684381
280,2010_AUT,2010,1.80898243,1.81353439,9.79,1.67378E+12,7940.18,210798855
281,2011_AUT,2011,2.927468002,3.286579149,11.57,1.72278E+12,8052.59,213941033
282,2012_AUT,2012,0.628246239,2.485675622,10.3,1.7336E+12,7925.64,218733423
283,2013_AUT,2013,-0.250726423,2.000156169,11.02,1.72926E+12,7709.97,224288339
284,2014_AUT,2014,0.75579885,1.60581183,11.77,1.74233E+12,7686.8,226664773
285,2015_AUT,2015,1.303523318,0.896563335,11.67,1.76504E+12,7635.63,231158062
286,2016_AUT,2016,2.117219645,0.891591753,12.45,1.80241E+12,7740.89,232842550
287,2017_AUT,2017,2.27224992,2.081269114,9.38,1.84336E+12,7825.69,235552838
288,2018_AUT,2018,2.484221141,1.998379814,12.58,1.88916E+12,7807.58,241964280
289,2019_AUT,2019,1.754976196,1.530895642,12.36,1.92231E+12,7739.11,248389204
290,2020_AUT,2020,-6.318255092,1.381910634,15.36,1.80085E+12,7098.36,253700026
291,2021_AUT,2021,4.923091717,2.766666667,9.17,1.88951E+12,7394.76,255520239
292,2022_AUT,2022,5.330963794,8.546869932,8.37,1.99024E+12,7679.03,259178577
293,2023_AUT,2023,-0.786244289,7.81413417,12.38,1.97459E+12,7446.74,265161845
294,2024_AUT,2024,-0.659089573,2.937915743,11.21,1.96158E+12,7346.05,267024913
295,2000_AZE,2000,11.09999914,1.805003037,4.75,9.71204E+11,12223.48,79453938
296,2001_AZE,2001,9.899999865,1.547195902,7.03,1.06735E+12,13089.61,81542001
297,2002_AZE,2002,9.438916269,2.77116472,7.65,1.1681E+12,14085.47,82929411
298,2003_AZE,2003,10.2082994,2.23386493,6.29,1.28734E+12,15135.63,85053816
299,2004_AZE,2004,9.253801797,6.708930428,7.64,1.40647E+12,16181.07,86920782
300,2005_AZE,2005,27.96153811,9.679507319,2,1.79974E+12,20466.58,87935643
301,2006_AZE,2006,34.46620962,8.328924829,2,2.42004E+12,26851.09,90128376
302,2007_AZE,2007,25.46321573,16.69975496,2,3.03627E+12,32826.08,92495556
303,2008_AZE,2008,10.59143746,20.84908718,8.05,3.35785E+12,35496.73,94596045
304,2009_AZE,2009,9.369502603,1.45704836,8.04,3.67246E+12,37970.66,96718476
305,2010_AZE,2010,4.788832488,5.726872247,10.62,3.84833E+12,38991.05,98697847
306,2011_AZE,2011,-1.572997351,7.858333333,14.31,3.7878E+12,38036.71,99582686
307,2012_AZE,2012,2.202938917,1.066213397,9.02,3.87124E+12,37860.14,102251112
308,2013_AZE,2013,5.843415905,2.415717453,7.59,4.09745E+12,39070.48,104873385
309,2014_AZE,2014,2.797585214,1.373441815,11.58,4.21208E+12,39633.3,106276378
310,2015_AZE,2015,1.049546412,4.027685737,12.75,4.25629E+12,39691.29,107234884
311,2016_AZE,2016,-3.063598423,12.44337486,13.56,4.1259E+12,37507.49,110001904
312,2017_AZE,2017,0.153614662,12.93591842,11.07,4.13223E+12,37372.28,110569475
313,2018_AZE,2018,1.500401672,2.268546904,13.17,4.19423E+12,37173.81,112827655
314,2019_AZE,2019,2.479808792,2.610571828,9.8,4.29824E+12,37319.58,115173944
315,2020_AZE,2020,-4.198960653,2.75980947,14.26,4.11776E+12,35022.32,117575337
316,2021_AZE,2021,5.616440272,6.650299127,7.62,4.34903E+12,36104.9,120455478
317,2022_AZE,2022,4.714680332,13.85225901,9.81,4.55408E+12,36920.1,123349505
